Student_ID,Course_Code
122867825,COMP2110
122867825,COMP2340
122867825,MATH1321
122867825,MATH2380
122867825,PHYS1411
122719583,COMP2380
122719583,COMP3320
122719583,COMP3330
122719583,MATH2321
122719583,STAT2311
121499914,COMP3340
121499914,COMP3390
121499914,COMP4110
121499914,COMP4310
124335942,COMP3320
124335942,COMP3330
124335942,COMP4110
124335942,COMP4330
124335942,COMP4350
124335942,COMP4360
123678638,COMP2380
123678638,ENEE2304
123678638,ENEE3307
123678638,ENEE4312
123678638,STAT2311
126647119,COMP2340
126647119,MATH1321
126647119,MATH2380
126647119,PHYS1411
127022674,COMP2380
127022674,COMP3320
127022674,COMP3330
127022674,MATH2321
127022674,STAT2311
127350753,COMP3340
127350753,COMP3390
127350753,COMP4110
127350753,COMP4120
127350753,COMP4310
121768805,COMP3320
121768805,COMP3330
121768805,COMP4330
121768805,COMP4350
122694522,COMP2380
122694522,COMP3390
122694522,ENEE2304
122694522,ENEE3307
122694522,ENEE4312
122694522,STAT2311
122694522,PHYS1411
124514944,COMP2110
124514944,COMP2340
124514944,MATH1321
124514944,MATH2380
124514944,PHYS1411
123741438,COMP3320
123741438,COMP3330
123741438,MATH2321
123741438,STAT2311
121938483,COMP3340
121938483,COMP3390
121938483,COMP4110
121938483,COMP4120
121938483,COMP4310
122110460,COMP3320
122110460,COMP3330
122110460,COMP4330
122110460,COMP4350
122110460,COMP4360
128698256,COMP2380
128698256,ENEE2304
128698256,ENEE3307
128698256,ENEE4312
125408072,COMP2110
125408072,COMP2340
125408072,COMP4310
125408072,MATH1321
125408072,MATH2380
125408072,PHYS1411
123320821,COMP2380
123320821,COMP3320
123320821,COMP3330
123320821,MATH2321
123320821,STAT2311
123564251,COMP3340
123564251,COMP3390
123564251,COMP4110
123564251,COMP4120
127455324,COMP3320
127455324,COMP3330
127455324,COMP4330
127455324,COMP4350
127455324,COMP4360
122921859,COMP2380
122921859,COMP3340
122921859,COMP4120
122921859,ENEE2304
122921859,ENEE3307
122921859,ENEE4312
122921859,STAT2311
128612220,COMP2110
128612220,COMP2340
128612220,MATH1321
128612220,MATH2380
129517485,COMP2380
129517485,COMP3320
129517485,COMP3330
129517485,MATH2321
129517485,STAT2311
127273233,COMP3340
127273233,COMP3390
127273233,COMP4110
127273233,COMP4120
127273233,COMP4310
121326765,COMP3320
121326765,COMP3330
121326765,COMP4110
121326765,COMP4330
121326765,COMP4360
125041154,COMP2380
